,Date,ARIMA_Forecast_mm,LSTM_Forecast_mm,Rain_Category
2025-07-06,2025-07-06,1.1079208224054362,21.412054,Moderate rain
2025-07-07,2025-07-07,0.4556653101183079,21.426584,Moderate rain
2025-07-08,2025-07-08,0.9596617575629325,21.44005,Moderate rain
2025-07-09,2025-07-09,0.6186276517042497,21.452528,Moderate rain
2025-07-10,2025-07-10,0.771694471026404,21.464088,Moderate rain
2025-07-11,2025-07-11,0.8030997401950616,21.474796,Moderate rain
2025-07-12,2025-07-12,0.5813227617272068,21.48472,Moderate rain
2025-07-13,2025-07-13,0.9709421519995258,21.493908,Moderate rain
2025-07-14,2025-07-14,0.42557903061903013,21.502419,Moderate rain
2025-07-15,2025-07-15,1.08809637373847,21.510303,Moderate rain
2025-07-16,2025-07-16,0.3338507307367824,21.517605,Moderate rain
2025-07-17,2025-07-17,1.131289138733108,21.524366,Moderate rain
2025-07-18,2025-07-18,0.3221784811805779,21.530626,Moderate rain
2025-07-19,2025-07-19,1.0924528328566085,21.536427,Moderate rain
2025-07-20,2025-07-20,0.3903283611675987,21.541792,Moderate rain
2025-07-21,2025-07-21,0.98002711698376,21.546762,Moderate rain
2025-07-22,2025-07-22,0.5221659410841204,21.551367,Moderate rain
2025-07-23,2025-07-23,0.816945152525524,21.55563,Moderate rain
2025-07-24,2025-07-24,0.6891910955624923,21.559576,Moderate rain
2025-07-25,2025-07-25,0.6357723921857996,21.563227,Moderate rain
2025-07-26,2025-07-26,0.8564656676383402,21.56661,Moderate rain
2025-07-27,2025-07-27,0.4720238581190048,21.569744,Moderate rain
2025-07-28,2025-07-28,0.9897047074801635,21.572641,Moderate rain
2025-07-29,2025-07-29,0.35702814093094615,21.575325,Moderate rain
2025-07-30,2025-07-30,1.0620948886734827,21.577808,Moderate rain
2025-07-31,2025-07-31,0.3117691456650804,21.580109,Moderate rain
2025-08-01,2025-08-01,1.059486965404023,21.582237,Moderate rain
2025-08-02,2025-08-02,0.3429129966033275,21.584204,Moderate rain
2025-08-03,2025-08-03,0.9829603427610791,21.586033,Moderate rain
2025-08-04,2025-08-04,0.44176781047228797,21.587719,Moderate rain
2025-08-05,2025-08-05,0.8483016177795875,21.589281,Moderate rain
2025-08-06,2025-08-06,0.5863246066797385,21.590729,Moderate rain
2025-08-07,2025-08-07,0.6825630826868521,21.592068,Moderate rain
2025-08-08,2025-08-08,0.7459106983919009,21.593306,Moderate rain
2025-08-09,2025-08-09,0.5184456838258245,21.594456,Moderate rain
2025-08-10,2025-08-10,0.8874757786859233,21.59552,Moderate rain
2025-08-11,2025-08-11,0.3876694466620193,21.596502,Moderate rain
2025-08-12,2025-08-12,0.982225299992279,21.59741,Moderate rain
2025-08-13,2025-08-13,0.3146727348787377,21.598255,Moderate rain
2025-08-14,2025-08-14,1.0112724044424812,21.599033,Moderate rain
2025-08-15,2025-08-15,0.3118892022705495,21.599752,Moderate rain
2025-08-16,2025-08-16,0.9692019569235568,21.600422,Moderate rain
2025-08-17,2025-08-17,0.3775118026483939,21.601042,Moderate rain
2025-08-18,2025-08-18,0.8648785234784593,21.601608,Moderate rain
2025-08-19,2025-08-19,0.49613936110719803,21.60214,Moderate rain
2025-08-20,2025-08-20,0.7193927465884149,21.602629,Moderate rain
2025-08-21,2025-08-21,0.6421188790171447,21.603086,Moderate rain
2025-08-22,2025-08-22,0.5616128902838822,21.603502,Moderate rain
2025-08-23,2025-08-23,0.7848633567164466,21.603893,Moderate rain
2025-08-24,2025-08-24,0.42227612681131466,21.604254,Moderate rain
2025-08-25,2025-08-25,0.8950457694682894,21.60459,Moderate rain
2025-08-26,2025-08-26,0.3278263028291519,21.604895,Moderate rain
2025-08-27,2025-08-27,0.9504173691465255,21.605179,Moderate rain
2025-08-28,2025-08-28,0.29523116130442273,21.605444,Moderate rain
2025-08-29,2025-08-29,0.9400985252747391,21.605688,Moderate rain
2025-08-30,2025-08-30,0.328792024974389,21.605917,Moderate rain
2025-08-31,2025-08-31,0.866517850414827,21.606125,Moderate rain
2025-09-01,2025-09-01,0.419541552678504,21.606318,Moderate rain
2025-09-02,2025-09-02,0.7446605363911194,21.606497,Moderate rain
2025-09-03,2025-09-03,0.5472975022420394,21.606663,Moderate rain
2025-09-04,2025-09-04,0.5988298113526824,21.606817,Moderate rain
2025-09-05,2025-09-05,0.6849098357422094,21.606958,Moderate rain
2025-09-06,2025-09-06,0.4576168564000391,21.60709,Moderate rain
2025-09-07,2025-09-07,0.8038107696413822,21.60721,Moderate rain
2025-09-08,2025-09-08,0.34811751043183237,21.607325,Moderate rain
2025-09-09,2025-09-09,0.8797356633263506,21.607428,Moderate rain
2025-09-10,2025-09-10,0.2905632858168994,21.607527,Moderate rain
2025-09-11,2025-09-11,0.8974713749961718,21.607615,Moderate rain
2025-09-12,2025-09-12,0.29442817378076036,21.6077,Moderate rain
2025-09-13,2025-09-13,0.8537055019471815,21.607775,Moderate rain
2025-09-14,2025-09-14,0.3567572997388473,21.607843,Moderate rain
